countries,paises,ctry_orig,iso_orig,ctry_dest,iso_dest,yr1960,yr1970,yr1980,yr1990,yr2000,yr2010
,,Uruguay,URY,Honduras,HND,15,7,9,19,49,42
,,Uruguay,URY,Mexico,MEX,3,6,1661,977,1353,1960
,,Uruguay,URY,Nicaragua,NIC,3,5,5,6,7,0
,,Uruguay,URY,Panama,PAN,23,139,141,156,270,385
,,Uruguay,URY,Paraguay,PRY,401,722,2031,3083,3305,3039
,,Uruguay,URY,Peru,PER,184,360,509,420,343,287
,,Uruguay,URY,Portugal,PRT,0,0,2,114,0,190
,,Uruguay,URY,Puerto Rico,PRI,1,4,5,27,51,0
,,Uruguay,URY,Spain,ESP,144,243,417,1478,19876,99666
,,Uruguay,URY,United States,USA,1283,6579,15685,24694,25507,47772
,,Uruguay,URY,Uruguay,URY,0,0,0,0,0,0
,,Uruguay,URY,Venezuela  RB,VEN,2730,987,6283,6169,4697,4237
,,Venezuela  RB,VEN,Argentina,ARG,662,329,15,1993,3068,0
,,Venezuela  RB,VEN,Bolivia,BOL,27,72,109,278,492,811
,,Venezuela  RB,VEN,Brazil,BRA,1395,981,1258,1212,2162,2175
,,Venezuela  RB,VEN,Chile,CHL,411,378,888,2336,4034,7432
,,Venezuela  RB,VEN,Colombia,COL,12855,23498,31923,42329,37169,37461
,,Venezuela  RB,VEN,Costa Rica,CRI,181,248,457,649,1038,0
,,Venezuela  RB,VEN,Cuba,CUB,612,554,302,179,210,190
,,Venezuela  RB,VEN,Dominican Republic,DOM,581,4434,8141,12371,17358,21231
,,Venezuela  RB,VEN,Ecuador,ECU,528,982,1529,2537,3448,12189
,,Venezuela  RB,VEN,El Salvador,SLV,67,43,104,148,182,0
,,Venezuela  RB,VEN,Guatemala,GTM,244,127,112,130,173,217
,,Venezuela  RB,VEN,Honduras,HND,58,26,34,74,72,61
,,Venezuela  RB,VEN,Mexico,MEX,7,834,2167,1488,2845,4117
,,Venezuela  RB,VEN,Nicaragua,NIC,55,93,105,112,134,179
,,Venezuela  RB,VEN,Panama,PAN,355,395,323,529,1008,1434
,,Venezuela  RB,VEN,Paraguay,PRY,39,3,20,87,146,134
,,Venezuela  RB,VEN,Peru,PER,460,643,786,1565,1279,1071
,,Venezuela  RB,VEN,Portugal,PRT,703,1836,4797,15106,21370,31519
,,Venezuela  RB,VEN,Puerto Rico,PRI,124,367,527,1301,1804,0
,,Venezuela  RB,VEN,Spain,ESP,10853,18306,31357,41530,54198,164239
,,Venezuela  RB,VEN,United States,USA,7287,14645,41821,54323,118195,171891
,,Venezuela  RB,VEN,Uruguay,URY,298,247,178,183,706,638
,,Venezuela  RB,VEN,Venezuela  RB,VEN,0,0,0,0,0,0
